task_id,user_id,completion_time,task_switches,interruptions,worked_outside_hours,actual_start_date,actual_completion_date,efficiency_ratio
task_00078,user_010,1.06,1,0,True,2025-04-01 01:20:11.657294,2025-04-02 01:20:11.657294,1.89
task_00081,user_002,4.85,0,0,True,2025-07-04 01:20:11.657294,,0.68
task_00083,user_001,8.32,0,2,False,2025-04-27 01:20:11.657294,2025-05-06 01:20:11.657294,0.731
task_00084,user_004,4.05,0,0,False,2025-07-11 01:20:11.657294,2025-07-12 01:20:11.657294,1.254
task_00085,user_007,5.59,0,4,False,2025-03-05 01:20:11.657294,2025-03-05 01:20:11.657294,0.533
task_00087,user_005,4.51,0,4,False,2025-03-25 01:20:11.657294,,0.616
task_00088,user_008,2.1,0,0,True,2025-04-13 01:20:11.657294,,0.817
task_00094,user_003,3.23,0,0,False,2025-02-25 01:20:11.657294,,0.749
task_00097,user_009,11.43,2,0,False,2025-05-12 01:20:11.657294,2025-05-17 01:20:11.657294,0.519
task_00100,user_004,0.71,3,0,False,2025-03-07 01:20:11.657294,2025-03-08 01:20:11.657294,0.786
task_00101,user_010,2.24,1,1,False,2025-05-17 01:20:11.657294,2025-05-21 01:20:11.657294,0.79
task_00102,user_002,3.88,0,1,False,2025-05-29 01:20:11.657294,2025-06-04 01:20:11.657294,0.769
task_00103,user_003,6.26,0,1,False,2025-03-06 01:20:11.657294,,0.732
task_00104,user_006,4.54,0,2,False,2025-02-27 01:20:11.657294,2025-02-27 01:20:11.657294,0.949
task_00110,user_010,9.03,1,1,False,2025-03-11 01:20:11.657294,2025-03-19 01:20:11.657294,0.732
task_00111,user_002,1.86,0,0,False,2025-04-17 01:20:11.657294,2025-04-17 01:20:11.657294,1.07
task_00114,user_002,3.21,0,0,False,2025-07-17 01:20:11.657294,2025-07-28 01:20:11.657294,1.367
task_00116,user_004,2.53,1,1,False,2025-03-12 01:20:11.657294,2025-03-15 01:20:11.657294,0.732
task_00120,user_001,2.78,0,0,True,2025-07-23 01:20:11.657294,2025-07-28 01:20:11.657294,0.781
task_00123,user_001,2.97,0,0,False,2025-02-16 01:20:11.657294,,0.916
task_00125,user_003,1.3,0,0,True,2025-06-27 01:20:11.657294,2025-07-01 01:20:11.657294,1.474
task_00128,user_009,10.79,0,1,False,2025-07-19 01:20:11.657294,2025-07-22 01:20:11.657294,0.57
task_00135,user_002,8.38,0,0,False,2025-07-03 01:20:11.657294,,0.88
task_00136,user_008,2.54,0,0,False,2025-06-07 01:20:11.657294,2025-06-09 01:20:11.657294,0.744
task_00138,user_003,8.66,0,1,False,2025-08-03 01:20:11.657294,2025-08-05 01:20:11.657294,0.875
task_00139,user_010,6.46,2,1,False,2025-02-16 01:20:11.657294,,0.735
task_00141,user_003,1.09,0,0,False,2025-04-09 01:20:11.657294,2025-04-10 01:20:11.657294,1.288
task_00144,user_009,1.17,0,2,False,2025-04-04 01:20:11.657294,,0.48
task_00149,user_002,3.32,0,1,False,2025-02-18 01:20:11.657294,2025-02-20 01:20:11.657294,0.626
task_00154,user_005,3.35,0,0,True,2025-05-25 01:20:11.657294,,1.165
task_00166,user_006,1.5,0,2,True,2025-07-25 01:20:11.657294,2025-07-30 01:20:11.657294,0.839
task_00167,user_010,3.7,2,1,False,2025-06-02 01:20:11.657294,2025-06-05 01:20:11.657294,0.905
task_00172,user_004,9.63,1,0,False,2025-04-27 01:20:11.657294,2025-04-29 01:20:11.657294,0.575
task_00175,user_003,13.84,0,0,False,2025-07-17 01:20:11.657294,2025-07-19 01:20:11.657294,0.545
task_00179,user_006,1.37,0,1,False,2025-07-17 01:20:11.657294,2025-07-17 01:20:11.657294,0.772
task_00180,user_003,5.16,0,0,False,2025-05-06 01:20:11.657294,2025-05-08 01:20:11.657294,1.277
task_00181,user_003,3.82,0,1,False,2025-02-26 01:20:11.657294,2025-03-08 01:20:11.657294,0.884
task_00182,user_008,9.4,0,1,False,2025-07-26 01:20:11.657294,2025-07-28 01:20:11.657294,0.405
task_00184,user_002,0.83,0,1,False,2025-06-16 01:20:11.657294,2025-06-17 01:20:11.657294,0.748
task_00185,user_002,1.17,0,1,False,2025-06-13 01:20:11.657294,2025-06-19 01:20:11.657294,0.914
task_00186,user_009,5.46,0,0,False,2025-03-17 01:20:11.657294,2025-03-20 01:20:11.657294,0.634
task_00191,user_005,9.98,0,1,False,2025-07-03 01:20:11.657294,,0.625
task_00192,user_002,3.99,0,0,False,2025-03-16 01:20:11.657294,2025-03-16 01:20:11.657294,0.745
task_00193,user_006,7.76,0,1,False,2025-03-13 01:20:11.657294,2025-03-23 01:20:11.657294,0.706
task_00204,user_009,2.2,0,0,False,2025-06-22 01:20:11.657294,2025-06-22 01:20:11.657294,0.483
task_00208,user_010,1.07,1,1,False,2025-02-16 01:20:11.657294,2025-02-18 01:20:11.657294,0.914
task_00210,user_010,3.08,1,2,False,2025-07-25 01:20:11.657294,2025-07-25 01:20:11.657294,1.876
task_00212,user_009,7.01,1,0,False,2025-04-24 01:20:11.657294,2025-04-24 01:20:11.657294,0.419
task_00213,user_004,2.74,3,0,False,2025-03-28 01:20:11.657294,2025-03-29 01:20:11.657294,2.476
task_00216,user_005,3.98,0,1,False,2025-07-03 01:20:11.657294,,1.152
task_00217,user_002,2.21,0,0,False,2025-05-08 01:20:11.657294,2025-05-13 01:20:11.657294,1.222
task_00219,user_002,6.45,0,0,False,2025-02-15 01:20:11.657294,2025-03-01 01:20:11.657294,0.667
task_00222,user_007,1.52,1,2,True,2025-05-07 01:20:11.657294,2025-05-08 01:20:11.657294,1.046
task_00226,user_005,7.81,0,1,False,2025-03-06 01:20:11.657294,2025-03-08 01:20:11.657294,0.881
task_00229,user_004,5.95,2,1,False,2025-05-28 01:20:11.657294,2025-06-02 01:20:11.657294,1.074
task_00230,user_010,1.05,2,1,True,2025-07-25 01:20:11.657294,2025-07-27 01:20:11.657294,0.922
task_00233,user_001,1.29,0,0,False,2025-08-03 01:20:11.657294,,0.859
task_00234,user_009,4.66,1,0,False,2025-06-11 01:20:11.657294,,1.087
task_00235,user_003,6.93,0,0,False,2025-03-07 01:20:11.657294,,0.757
task_00240,user_008,3.63,0,0,False,2025-03-07 01:20:11.657294,,1.499
task_00242,user_010,4.5,3,0,False,2025-07-26 01:20:11.657294,2025-07-29 01:20:11.657294,0.993
task_00244,user_003,3.51,0,1,False,2025-04-15 01:20:11.657294,,0.772
task_00245,user_002,2.96,0,0,False,2025-08-02 01:20:11.657294,,0.847
task_00249,user_010,0.81,0,1,True,2025-06-18 01:20:11.657294,,1.269
task_00251,user_009,4.34,4,0,False,2025-03-03 01:20:11.657294,2025-03-07 01:20:11.657294,0.498
task_00254,user_006,3.25,0,1,True,2025-05-20 01:20:11.657294,2025-05-25 01:20:11.657294,0.758
task_00262,user_010,3.78,2,0,False,2025-02-23 01:20:11.657294,,1.065
task_00263,user_002,7.7,0,0,False,2025-06-25 01:20:11.657294,2025-06-27 01:20:11.657294,0.706
task_00271,user_007,24.04,5,2,False,2025-03-04 01:20:11.657294,2025-03-07 01:20:11.657294,0.256
task_00279,user_007,5.76,2,1,False,2025-04-18 01:20:11.657294,2025-04-20 01:20:11.657294,0.785
task_00284,user_003,1.55,0,2,False,2025-06-09 01:20:11.657294,2025-06-10 01:20:11.657294,0.913
task_00285,user_002,11.49,0,0,False,2025-05-30 01:20:11.657294,2025-06-01 01:20:11.657294,0.684
task_00288,user_006,11.27,0,1,False,2025-03-07 01:20:11.657294,2025-03-07 01:20:11.657294,0.707
task_00292,user_001,10.85,0,0,False,2025-05-20 01:20:11.657294,2025-05-25 01:20:11.657294,0.724
task_00294,user_004,3.5,3,1,True,2025-05-26 01:20:11.657294,2025-05-31 01:20:11.657294,0.92
task_00297,user_004,4.05,2,1,False,2025-05-11 01:20:11.657294,,1.454
task_00300,user_010,2.17,2,0,False,2025-07-21 01:20:11.657294,,1.334
task_00301,user_006,9.5,0,1,False,2025-05-10 01:20:11.657294,,0.577
task_00302,user_006,4.54,0,3,False,2025-03-14 01:20:11.657294,2025-03-18 01:20:11.657294,0.905
task_00306,user_010,2.38,0,0,True,2025-08-11 01:20:11.657294,,1.584
task_00308,user_009,1.51,3,1,True,2025-08-03 01:20:11.657294,2025-08-08 01:20:11.657294,0.571
task_00309,user_008,0.37,0,0,True,2025-04-22 01:20:11.657294,,1.497
task_00312,user_004,6.18,3,2,True,2025-03-22 01:20:11.657294,2025-03-27 01:20:11.657294,0.956
task_00314,user_007,1.93,0,0,False,2025-05-27 01:20:11.657294,2025-06-03 01:20:11.657294,0.867
task_00315,user_009,2.95,2,1,False,2025-06-05 01:20:11.657294,2025-06-21 01:20:11.657294,1.422
task_00317,user_008,12.13,0,0,False,2025-06-23 01:20:11.657294,,0.726
task_00325,user_001,5.49,0,1,False,2025-07-14 01:20:11.657294,2025-07-31 01:20:11.657294,0.664
task_00326,user_004,3.22,1,0,False,2025-03-19 01:20:11.657294,2025-03-25 01:20:11.657294,0.942
task_00329,user_008,9.94,0,0,False,2025-03-05 01:20:11.657294,,0.8
task_00332,user_005,1.23,0,0,False,2025-04-08 01:20:11.657294,,1.285
task_00335,user_007,1.0,0,0,False,2025-05-03 01:20:11.657294,,0.869
task_00337,user_001,4.97,0,0,False,2025-06-23 01:20:11.657294,2025-06-29 01:20:11.657294,0.734
task_00339,user_008,12.35,0,3,False,2025-07-12 01:20:11.657294,2025-07-16 01:20:11.657294,0.385
task_00342,user_004,2.91,0,0,False,2025-06-22 01:20:11.657294,2025-06-29 01:20:11.657294,1.225
task_00343,user_010,5.45,2,1,False,2025-04-17 01:20:11.657294,,0.84
task_00345,user_008,5.18,0,1,False,2025-05-02 01:20:11.657294,2025-05-05 01:20:11.657294,0.569
task_00346,user_006,5.02,0,2,False,2025-05-31 01:20:11.657294,2025-06-07 01:20:11.657294,0.705
task_00347,user_001,8.46,0,1,False,2025-07-12 01:20:11.657294,2025-07-14 01:20:11.657294,0.845
task_00357,user_003,2.9,0,0,False,2025-02-17 01:20:11.657294,2025-02-18 01:20:11.657294,1.388
task_00363,user_010,0.96,0,0,True,2025-03-25 01:20:11.657294,2025-03-28 01:20:11.657294,1.445
task_00367,user_004,6.0,2,0,False,2025-04-22 01:20:11.657294,2025-05-01 01:20:11.657294,1.08
task_00371,user_002,7.34,0,2,False,2025-03-05 01:20:11.657294,2025-03-11 01:20:11.657294,0.637
task_00373,user_003,1.16,0,0,False,2025-06-16 01:20:11.657294,2025-06-18 01:20:11.657294,0.787
task_00376,user_006,4.39,0,1,True,2025-06-04 01:20:11.657294,2025-06-07 01:20:11.657294,1.159
task_00383,user_007,3.31,1,0,False,2025-05-07 01:20:11.657294,2025-05-11 01:20:11.657294,0.941
task_00384,user_009,2.27,2,2,False,2025-03-06 01:20:11.657294,2025-03-11 01:20:11.657294,0.636
task_00386,user_003,16.51,0,2,True,2025-05-30 01:20:11.657294,2025-06-15 01:20:11.657294,0.701
task_00388,user_010,3.89,1,2,False,2025-03-05 01:20:11.657294,2025-03-05 01:20:11.657294,0.853
task_00389,user_009,5.95,1,4,False,2025-06-19 01:20:11.657294,,0.61
task_00390,user_003,1.29,0,1,False,2025-07-26 01:20:11.657294,2025-07-28 01:20:11.657294,0.773
task_00391,user_008,1.24,0,1,False,2025-07-25 01:20:11.657294,2025-07-27 01:20:11.657294,0.659
task_00394,user_010,4.63,0,1,True,2025-08-01 01:20:11.657294,2025-08-02 01:20:11.657294,1.006
task_00400,user_002,3.92,0,0,False,2025-02-15 01:20:11.657294,,1.034
task_00413,user_005,7.96,0,1,False,2025-04-04 01:20:11.657294,2025-04-06 01:20:11.657294,1.0
task_00417,user_003,4.39,0,3,False,2025-08-05 01:20:11.657294,,0.581
task_00418,user_001,6.16,0,2,False,2025-03-07 01:20:11.657294,,0.537
task_00422,user_009,2.11,3,0,False,2025-06-02 01:20:11.657294,2025-06-12 01:20:11.657294,0.549
task_00423,user_001,19.63,0,1,False,2025-07-23 01:20:11.657294,2025-08-06 01:20:11.657294,0.518
task_00425,user_001,2.19,0,0,False,2025-06-09 01:20:11.657294,2025-06-15 01:20:11.657294,0.791
task_00426,user_009,2.35,1,1,False,2025-07-24 01:20:11.657294,,0.62
task_00427,user_010,1.37,1,0,False,2025-06-06 01:20:11.657294,2025-06-08 01:20:11.657294,1.639
task_00429,user_010,6.22,0,1,True,2025-06-27 01:20:11.657294,2025-07-01 01:20:11.657294,1.024
task_00433,user_001,2.25,0,0,True,2025-07-11 01:20:11.657294,2025-07-16 01:20:11.657294,1.063
task_00445,user_008,6.45,0,0,False,2025-05-01 01:20:11.657294,2025-05-09 01:20:11.657294,0.743
task_00450,user_001,2.73,0,0,True,2025-06-06 01:20:11.657294,2025-06-08 01:20:11.657294,0.75
task_00455,user_009,3.06,3,0,True,2025-05-13 01:20:11.657294,2025-05-14 01:20:11.657294,0.612
task_00457,user_007,7.13,2,1,False,2025-03-23 01:20:11.657294,2025-03-26 01:20:11.657294,0.537
task_00459,user_004,3.32,4,0,True,2025-05-04 01:20:11.657294,,1.181
task_00461,user_004,4.51,1,0,False,2025-07-22 01:20:11.657294,2025-08-05 01:20:11.657294,0.971
task_00462,user_003,1.74,0,0,False,2025-06-06 01:20:11.657294,2025-06-09 01:20:11.657294,1.07
task_00463,user_005,4.44,0,1,True,2025-07-29 01:20:11.657294,2025-07-30 01:20:11.657294,0.879
task_00465,user_001,13.89,0,2,False,2025-04-01 01:20:11.657294,2025-04-06 01:20:11.657294,0.495
task_00470,user_009,6.31,1,0,False,2025-05-12 01:20:11.657294,2025-05-12 01:20:11.657294,0.476
task_00474,user_003,9.09,0,1,False,2025-02-22 01:20:11.657294,2025-03-09 01:20:11.657294,0.814
task_00478,user_007,9.46,2,2,False,2025-03-02 01:20:11.657294,2025-03-08 01:20:11.657294,0.625
task_00482,user_005,2.95,0,1,True,2025-06-24 01:20:11.657294,2025-06-28 01:20:11.657294,0.692
task_00483,user_010,2.53,1,2,False,2025-07-10 01:20:11.657294,2025-07-12 01:20:11.657294,1.495
task_00489,user_001,2.06,0,2,False,2025-04-16 01:20:11.657294,2025-04-17 01:20:11.657294,0.874
task_00493,user_006,5.06,0,0,False,2025-05-15 01:20:11.657294,2025-05-29 01:20:11.657294,0.915
task_00495,user_007,15.08,1,0,False,2025-02-15 01:20:11.657294,2025-02-17 01:20:11.657294,0.466
task_00500,user_010,3.02,0,3,False,2025-04-15 01:20:11.657294,2025-04-20 01:20:11.657294,1.244
task_00512,user_005,5.33,0,0,False,2025-07-27 01:20:11.657294,,0.911
task_00515,user_005,0.86,0,0,False,2025-03-25 01:20:11.657294,2025-03-29 01:20:11.657294,0.899
task_00516,user_007,2.88,3,1,True,2025-03-16 01:20:11.657294,2025-03-20 01:20:11.657294,0.628
task_00517,user_003,2.85,0,1,False,2025-07-20 01:20:11.657294,2025-07-23 01:20:11.657294,1.171
task_00519,user_008,6.47,0,1,False,2025-05-12 01:20:11.657294,2025-05-12 01:20:11.657294,0.999
task_00521,user_006,5.18,0,0,False,2025-02-22 01:20:11.657294,2025-02-28 01:20:11.657294,1.219
task_00526,user_004,2.79,2,0,True,2025-05-12 01:20:11.657294,,1.439
task_00528,user_008,5.36,0,0,True,2025-06-28 01:20:11.657294,2025-07-06 01:20:11.657294,1.026
task_00529,user_005,1.07,0,2,False,2025-06-01 01:20:11.657294,2025-06-03 01:20:11.657294,0.971
task_00530,user_003,6.88,0,1,False,2025-05-26 01:20:11.657294,2025-05-30 01:20:11.657294,0.862
task_00532,user_010,1.2,2,0,False,2025-07-19 01:20:11.657294,,0.857
task_00534,user_010,0.81,2,1,False,2025-07-23 01:20:11.657294,2025-07-24 01:20:11.657294,1.274
task_00535,user_007,3.02,2,1,False,2025-05-12 01:20:11.657294,2025-05-15 01:20:11.657294,0.547
task_00536,user_004,11.08,2,0,False,2025-03-09 01:20:11.657294,2025-03-14 01:20:11.657294,0.705
task_00537,user_006,1.72,0,0,False,2025-05-27 01:20:11.657294,2025-05-27 01:20:11.657294,0.986
task_00542,user_008,9.28,0,1,True,2025-02-22 01:20:11.657294,2025-03-05 01:20:11.657294,0.825
task_00545,user_006,2.53,0,0,False,2025-03-25 01:20:11.657294,2025-03-28 01:20:11.657294,0.829
task_00548,user_001,3.12,0,0,False,2025-05-24 01:20:11.657294,2025-06-01 01:20:11.657294,0.916
task_00550,user_010,4.99,4,1,False,2025-04-15 01:20:11.657294,2025-04-15 01:20:11.657294,1.159
task_00555,user_008,4.34,0,1,False,2025-06-01 01:20:11.657294,2025-06-05 01:20:11.657294,0.626
task_00557,user_005,7.26,0,3,False,2025-04-11 01:20:11.657294,2025-04-13 01:20:11.657294,0.67
task_00558,user_007,0.94,0,0,True,2025-05-27 01:20:11.657294,2025-05-30 01:20:11.657294,1.053
task_00560,user_010,3.8,1,0,True,2025-03-12 01:20:11.657294,,1.261
task_00561,user_001,2.53,0,2,True,2025-03-27 01:20:11.657294,2025-03-28 01:20:11.657294,0.731
task_00562,user_003,1.01,0,0,False,2025-05-17 01:20:11.657294,2025-05-21 01:20:11.657294,0.751
task_00564,user_009,6.61,2,2,False,2025-08-12 01:20:11.657294,2025-08-23 01:20:11.657294,1.063
task_00565,user_008,7.56,0,0,False,2025-06-03 01:20:11.657294,2025-06-08 01:20:11.657294,0.745
task_00567,user_009,5.94,1,2,False,2025-02-16 01:20:11.657294,2025-02-18 01:20:11.657294,0.551
task_00568,user_006,2.55,0,0,True,2025-07-09 01:20:11.657294,2025-07-15 01:20:11.657294,0.995
task_00569,user_008,2.8,0,1,False,2025-02-28 01:20:11.657294,2025-03-02 01:20:11.657294,0.674
task_00570,user_007,2.04,1,0,False,2025-06-25 01:20:11.657294,,0.899
task_00572,user_004,2.62,3,2,False,2025-07-22 01:20:11.657294,2025-07-29 01:20:11.657294,0.671
task_00574,user_005,4.89,0,0,True,2025-06-11 01:20:11.657294,2025-06-11 01:20:11.657294,1.067
task_00575,user_004,3.7,2,0,True,2025-06-30 01:20:11.657294,2025-06-30 01:20:11.657294,1.08
task_00578,user_010,2.65,1,1,True,2025-06-25 01:20:11.657294,2025-06-29 01:20:11.657294,0.863
task_00580,user_007,10.76,1,0,False,2025-03-01 01:20:11.657294,2025-03-05 01:20:11.657294,0.466
task_00582,user_002,1.79,0,2,False,2025-05-08 01:20:11.657294,2025-05-11 01:20:11.657294,1.023
task_00585,user_002,1.81,0,0,False,2025-04-20 01:20:11.657294,2025-04-24 01:20:11.657294,0.729
task_00587,user_001,2.81,0,0,True,2025-04-16 01:20:11.657294,2025-04-17 01:20:11.657294,1.428
task_00589,user_010,3.05,2,3,True,2025-06-23 01:20:11.657294,2025-06-26 01:20:11.657294,0.862
task_00591,user_006,1.9,0,1,True,2025-02-23 01:20:11.657294,,1.021
task_00592,user_004,3.72,3,0,False,2025-02-27 01:20:11.657294,2025-03-03 01:20:11.657294,0.843
task_00595,user_009,3.25,2,2,True,2025-04-13 01:20:11.657294,2025-04-15 01:20:11.657294,0.458
task_00596,user_002,6.43,0,0,False,2025-06-13 01:20:11.657294,2025-06-16 01:20:11.657294,0.792
task_00597,user_009,5.55,2,2,False,2025-05-29 01:20:11.657294,2025-06-06 01:20:11.657294,0.397
task_00598,user_009,2.17,1,0,True,2025-07-27 01:20:11.657294,2025-07-27 01:20:11.657294,0.921
task_00599,user_008,3.63,0,3,False,2025-03-12 01:20:11.657294,2025-03-13 01:20:11.657294,0.664
task_00600,user_004,4.61,1,1,False,2025-08-04 01:20:11.657294,2025-03-13 01:20:11.657294,0.935
task_00601,user_007,17.88,1,0,False,2025-03-17 01:20:11.657294,2025-04-06 01:20:11.657294,0.667
task_00603,user_006,3.35,0,0,False,2025-05-27 01:20:11.657294,2025-05-31 01:20:11.657294,1.197
task_00606,user_009,10.36,2,0,False,2025-06-15 01:20:11.657294,,0.562
task_00607,user_006,8.56,0,2,False,2025-02-28 01:20:11.657294,2025-02-28 01:20:11.657294,0.615
task_00613,user_006,3.29,0,0,False,2025-04-01 01:20:11.657294,2025-04-02 01:20:11.657294,0.872
task_00614,user_007,10.94,0,1,False,2025-02-27 01:20:11.657294,2025-02-27 01:20:11.657294,0.658
task_00615,user_008,4.58,0,0,False,2025-05-18 01:20:11.657294,,0.474
task_00616,user_008,3.54,0,1,False,2025-06-29 01:20:11.657294,2025-07-02 01:20:11.657294,0.581
task_00619,user_008,2.98,0,0,False,2025-03-24 01:20:11.657294,2025-03-27 01:20:11.657294,0.715
task_00626,user_007,4.34,0,1,False,2025-07-02 01:20:11.657294,,0.89
task_00631,user_002,2.11,0,1,False,2025-03-25 01:20:11.657294,,0.635
task_00632,user_009,1.93,0,0,True,2025-04-14 01:20:11.657294,2025-04-17 01:20:11.657294,0.842
task_00646,user_010,1.16,2,2,False,2025-03-04 01:20:11.657294,,0.839
task_00650,user_003,4.91,0,1,True,2025-03-03 01:20:11.657294,2025-03-06 01:20:11.657294,1.139
task_00653,user_002,1.67,0,1,False,2025-03-01 01:20:11.657294,2025-03-05 01:20:11.657294,0.786
task_00660,user_008,13.13,0,1,False,2025-04-17 01:20:11.657294,2025-04-25 01:20:11.657294,0.828
task_00661,user_001,6.29,0,0,False,2025-07-03 01:20:11.657294,2025-07-15 01:20:11.657294,1.096
task_00664,user_005,1.16,0,2,False,2025-04-01 01:20:11.657294,2025-04-18 01:20:11.657294,3.991
task_00668,user_002,5.34,0,2,False,2025-05-15 01:20:11.657294,,0.692
task_00673,user_005,4.26,0,0,False,2025-08-04 01:20:11.657294,2025-08-10 01:20:11.657294,0.665
task_00675,user_007,7.33,1,0,False,2025-02-23 01:20:11.657294,2025-02-27 01:20:11.657294,0.697
task_00678,user_008,4.99,0,1,False,2025-05-13 01:20:11.657294,2025-05-13 01:20:11.657294,0.679
task_00679,user_004,2.47,2,1,False,2025-03-17 01:20:11.657294,2025-03-17 01:20:11.657294,1.147
task_00680,user_010,1.57,2,0,False,2025-04-25 01:20:11.657294,2025-04-29 01:20:11.657294,1.009
task_00682,user_004,2.0,1,0,False,2025-07-24 01:20:11.657294,2025-07-25 01:20:11.657294,0.836
task_00684,user_002,4.78,0,1,False,2025-04-04 01:20:11.657294,2025-04-10 01:20:11.657294,0.836
task_00688,user_005,4.22,0,0,False,2025-07-13 01:20:11.657294,,0.991
task_00689,user_002,11.04,0,2,True,2025-05-21 01:20:11.657294,2025-05-24 01:20:11.657294,0.559
task_00690,user_005,5.04,0,1,False,2025-05-30 01:20:11.657294,2025-05-30 01:20:11.657294,0.621
task_00696,user_009,8.22,2,2,True,2025-04-23 01:20:11.657294,2025-05-02 01:20:11.657294,0.472
task_00698,user_001,1.35,0,0,False,2025-07-18 01:20:11.657294,,0.639
task_00700,user_001,13.74,0,4,False,2025-07-29 01:20:11.657294,2025-08-06 01:20:11.657294,0.492
task_00702,user_001,8.38,0,2,True,2025-05-16 01:20:11.657294,2025-05-20 01:20:11.657294,0.554
task_00716,user_004,7.66,4,0,False,2025-04-15 01:20:11.657294,2025-04-17 01:20:11.657294,0.689
task_00721,user_005,1.35,0,0,False,2025-05-08 01:20:11.657294,,1.159
task_00722,user_004,5.81,1,0,False,2025-06-08 01:20:11.657294,2025-06-16 01:20:11.657294,0.893
task_00724,user_009,5.4,1,1,False,2025-07-18 01:20:11.657294,,0.484
task_00726,user_004,1.8,0,1,False,2025-02-22 01:20:11.657294,,3.101
task_00729,user_005,0.81,0,0,True,2025-03-27 01:20:11.657294,2025-03-27 01:20:11.657294,0.913
task_00730,user_001,0.83,0,0,False,2025-07-26 01:20:11.657294,2025-07-29 01:20:11.657294,0.628
task_00734,user_010,6.6,1,0,False,2025-03-03 01:20:11.657294,2025-03-08 01:20:11.657294,0.702
task_00736,user_010,8.53,2,1,True,2025-03-09 01:20:11.657294,,0.716
task_00738,user_009,3.09,5,0,False,2025-03-04 01:20:11.657294,2025-03-05 01:20:11.657294,0.414
task_00740,user_009,11.25,2,0,False,2025-04-14 01:20:11.657294,2025-04-18 01:20:11.657294,0.508
task_00741,user_004,2.01,2,0,False,2025-04-18 01:20:11.657294,2025-04-23 01:20:11.657294,1.336
task_00742,user_009,15.32,2,1,True,2025-02-28 01:20:11.657294,2025-03-12 01:20:11.657294,0.506
task_00746,user_008,3.42,0,1,False,2025-04-22 01:20:11.657294,2025-04-26 01:20:11.657294,0.585
task_00747,user_010,7.87,5,0,False,2025-04-19 01:20:11.657294,2025-04-26 01:20:11.657294,0.507
task_00748,user_007,1.91,0,2,False,2025-07-09 01:20:11.657294,2025-07-18 01:20:11.657294,1.683
task_00751,user_010,5.11,0,4,False,2025-05-16 01:20:11.657294,2025-05-18 01:20:11.657294,1.015
task_00752,user_006,5.95,0,3,False,2025-07-17 01:20:11.657294,,0.573
