task_id,completion_time,actual_start_date,actual_completion_date
71,1.118546,2025-01-16 19:49:56.540703,
72,0.5,2025-01-18 19:49:56.540703,2025-01-29 19:49:56.540703
74,3.909067,2025-01-09 19:49:56.540703,
75,3.983257,2025-02-26 19:49:56.540703,2025-03-22 19:49:56.540703
76,3.53362,2025-03-04 19:49:56.540703,
77,1.876025,2025-02-04 19:49:56.540703,2025-02-28 19:49:56.540703
78,3.598674,2025-02-03 19:49:56.540703,
79,1.975772,2025-02-03 19:49:56.540703,2025-02-10 19:49:56.540703
80,3.277247,2025-01-21 19:49:56.540703,2025-01-19 19:49:56.540703
81,1.979011,2025-02-28 19:49:56.540703,2025-03-28 19:49:56.540703
82,4.1791,2025-03-01 19:49:56.540703,2025-03-04 19:49:56.540703
84,3.504923,2025-02-12 19:49:56.540703,
85,3.046005,2025-01-18 19:49:56.540703,2025-01-21 19:49:56.540703
87,0.975646,2025-02-11 19:49:56.540703,
88,5.146566,2025-01-26 19:49:56.540703,2025-02-11 19:49:56.540703
89,0.758233,2025-01-15 19:49:56.540703,
90,2.087506,2025-02-24 19:49:56.540703,2025-03-18 19:49:56.540703
92,3.582554,2025-02-05 19:49:56.540703,2025-02-27 19:49:56.540703
95,0.579906,2025-02-09 19:49:56.540703,2025-03-06 19:49:56.540703
98,2.357871,2025-01-23 19:49:56.540703,2025-02-12 19:49:56.540703
99,2.345278,2025-01-22 19:49:56.540703,
101,1.985155,2025-02-08 19:49:56.540703,
102,0.672914,2025-02-03 19:49:56.540703,2025-02-05 19:49:56.540703
105,2.196844,2025-02-22 19:49:56.540703,
106,1.894821,2025-02-20 19:49:56.540703,
108,1.24314,2025-02-08 19:49:56.540703,2025-02-11 19:49:56.540703
109,3.80206,2025-01-30 19:49:56.540703,2025-02-05 19:49:56.540703
110,1.493094,2025-02-03 19:49:56.540703,
111,3.380652,2025-02-01 19:49:56.540703,2025-03-01 19:49:56.540703
113,6.184368,2025-01-11 19:49:56.540703,2025-01-12 19:49:56.540703
114,3.977424,2025-02-10 19:49:56.540703,2025-03-05 19:49:56.540703
115,0.579143,2025-02-01 19:49:56.540703,
116,2.386272,2025-03-03 19:49:56.540703,
118,5.385225,2025-01-16 19:49:56.540703,2025-01-25 19:49:56.540703
120,4.597173,2025-01-13 19:49:56.540703,
121,2.335475,2025-03-03 19:49:56.540703,
122,3.58464,2025-01-30 19:49:56.540703,
124,3.060377,2025-01-16 19:49:56.540703,
125,5.491945,2025-02-21 19:49:56.540703,
127,1.767534,2025-02-12 19:49:56.540703,2025-02-16 19:49:56.540703
128,1.235996,2025-01-24 19:49:56.540703,2025-02-07 19:49:56.540703
129,1.969871,2025-02-05 19:49:56.540703,2025-02-13 19:49:56.540703
131,1.232138,2025-02-15 19:49:56.540703,2025-02-19 19:49:56.540703
132,4.31767,2025-03-07 19:49:56.540703,2025-03-12 19:49:56.540703
133,4.641352,2025-02-10 19:49:56.540703,2025-02-21 19:49:56.540703
134,3.133151,2025-01-20 19:49:56.540703,
135,2.570774,2025-02-10 19:49:56.540703,2025-02-14 19:49:56.540703
138,1.167097,2025-03-01 19:49:56.540703,2025-03-02 19:49:56.540703
139,4.036714,2025-02-01 19:49:56.540703,
140,1.744994,2025-01-28 19:49:56.540703,2025-02-22 19:49:56.540703
141,2.240786,2025-02-19 19:49:56.540703,2025-03-01 19:49:56.540703
142,4.222669,2025-02-18 19:49:56.540703,
143,2.614551,2025-02-17 19:49:56.540703,
144,4.968752,2025-02-02 19:49:56.540703,
145,1.462348,2025-02-03 19:49:56.540703,
146,3.555388,2025-03-04 19:49:56.540703,2025-03-15 19:49:56.540703
147,2.500036,2025-01-31 19:49:56.540703,
149,2.598752,2025-01-16 19:49:56.540703,2025-02-09 19:49:56.540703
150,2.270243,2025-01-23 19:49:56.540703,2025-01-27 19:49:56.540703
151,3.489686,2025-01-18 19:49:56.540703,
152,3.648452,2025-01-30 19:49:56.540703,2025-02-07 19:49:56.540703
153,4.64022,2025-01-11 19:49:56.540703,2025-01-17 19:49:56.540703
154,0.549065,2025-03-06 19:49:56.540703,2025-03-26 19:49:56.540703
155,4.606479,2025-02-21 19:49:56.540703,2025-03-15 19:49:56.540703
157,2.626448,2025-02-01 19:49:56.540703,2025-02-04 19:49:56.540703
159,2.516595,2025-02-15 19:49:56.540703,2025-02-16 19:49:56.540703
161,0.986195,2025-02-22 19:49:56.540703,
163,2.796292,2025-01-27 19:49:56.540703,
164,3.561645,2025-01-16 19:49:56.540703,2025-01-23 19:49:56.540703
165,1.649975,2025-01-15 19:49:56.540703,
166,2.690235,2025-01-30 19:49:56.540703,2025-02-26 19:49:56.540703
168,4.71609,2025-01-31 19:49:56.540703,2025-02-10 19:49:56.540703
169,0.656906,2025-01-20 19:49:56.540703,2025-01-21 19:49:56.540703
170,2.634591,2025-01-31 19:49:56.540703,
172,1.584167,2025-01-21 19:49:56.540703,
173,1.21841,2025-02-03 19:49:56.540703,2025-02-15 19:49:56.540703
176,0.96216,2025-01-26 19:49:56.540703,2025-02-15 19:49:56.540703
178,1.109167,2025-02-21 19:49:56.540703,2025-03-14 19:49:56.540703
181,1.386191,2025-01-24 19:49:56.540703,
182,2.566856,2025-03-01 19:49:56.540703,2025-03-17 19:49:56.540703
183,3.20331,2025-02-14 19:49:56.540703,
184,5.10355,2025-02-16 19:49:56.540703,2025-02-25 19:49:56.540703
185,1.89339,2025-01-27 19:49:56.540703,
186,2.530152,2025-01-16 19:49:56.540703,2025-02-10 19:49:56.540703
187,3.244896,2025-02-07 19:49:56.540703,
188,3.126588,2025-01-16 19:49:56.540703,2025-01-30 19:49:56.540703
189,1.746894,2025-01-29 19:49:56.540703,
191,3.820558,2025-01-07 19:49:56.540703,
193,1.255263,2025-02-28 19:49:56.540703,2025-03-22 19:49:56.540703
194,1.61027,2025-01-20 19:49:56.540703,
196,3.478209,2025-02-15 19:49:56.540703,
197,1.616336,2025-03-01 19:49:56.540703,2025-02-26 19:49:56.540703
198,4.257368,2025-01-07 19:49:56.540703,
199,1.712772,2025-01-25 19:49:56.540703,2025-01-25 19:49:56.540703
200,1.966549,2025-01-29 19:49:56.540703,
202,2.57706,2025-01-21 19:49:56.540703,
203,2.562456,2025-02-22 19:49:56.540703,2025-03-02 19:49:56.540703
204,4.146222,2025-01-24 19:49:56.540703,2025-02-04 19:49:56.540703
205,1.103139,2025-01-30 19:49:56.540703,
209,2.27099,2025-01-22 19:49:56.540703,2025-02-07 19:49:56.540703
210,0.773249,2025-03-06 19:49:56.540703,
211,1.908051,2025-02-10 19:49:56.540703,
212,2.268568,2025-01-18 19:49:56.540703,2025-02-12 19:49:56.540703
214,3.930744,2025-02-17 19:49:56.540703,
215,1.726995,2025-02-10 19:49:56.540703,2025-02-08 19:49:56.540703
216,1.202233,2025-01-24 19:49:56.540703,
217,2.29426,2025-01-23 19:49:56.540703,2025-02-02 19:49:56.540703
218,3.094696,2025-01-23 19:49:56.540703,2025-02-17 19:49:56.540703
219,2.114697,2025-01-18 19:49:56.540703,
221,3.960585,2025-02-28 19:49:56.540703,
222,3.238867,2025-01-26 19:49:56.540703,
224,0.984605,2025-01-14 19:49:56.540703,2025-01-21 19:49:56.540703
225,0.812336,2025-02-07 19:49:56.540703,
226,2.432397,2025-01-08 19:49:56.540703,
227,2.038835,2025-01-22 19:49:56.540703,
230,3.857693,2025-03-06 19:49:56.540703,
231,4.487551,2025-02-23 19:49:56.540703,2025-03-07 19:49:56.540703
233,4.505114,2025-01-10 19:49:56.540703,
235,1.728905,2025-01-22 19:49:56.540703,2025-02-04 19:49:56.540703
236,2.163729,2025-03-07 19:49:56.540703,2025-03-28 19:49:56.540703
237,1.06077,2025-01-08 19:49:56.540703,2025-01-30 19:49:56.540703
238,2.765309,2025-01-11 19:49:56.540703,
239,1.399651,2025-02-11 19:49:56.540703,
241,5.960102,2025-01-10 19:49:56.540703,2025-02-05 19:49:56.540703
242,3.713116,2025-03-03 19:49:56.540703,2025-03-25 19:49:56.540703
243,2.9594,2025-01-08 19:49:56.540703,
244,3.872701,2025-02-04 19:49:56.540703,2025-02-03 19:49:56.540703
245,1.817574,2025-02-22 19:49:56.540703,
246,0.5,2025-02-27 19:49:56.540703,2025-03-02 19:49:56.540703
247,2.174384,2025-02-11 19:49:56.540703,2025-02-14 19:49:56.540703
248,2.58242,2025-02-28 19:49:56.540703,2025-03-23 19:49:56.540703
250,4.666621,2025-02-04 19:49:56.540703,
251,3.912774,2025-02-02 19:49:56.540703,2025-02-08 19:49:56.540703
252,1.284606,2025-02-20 19:49:56.540703,
253,3.015264,2025-02-23 19:49:56.540703,2025-03-02 19:49:56.540703
254,5.252682,2025-01-29 19:49:56.540703,
256,4.818953,2025-02-06 19:49:56.540703,2025-02-12 19:49:56.540703
257,4.250986,2025-01-28 19:49:56.540703,
259,0.594481,2025-02-01 19:49:56.540703,
260,1.22544,2025-02-02 19:49:56.540703,
262,2.664976,2025-02-19 19:49:56.540703,2025-03-03 19:49:56.540703
263,5.629958,2025-01-08 19:49:56.540703,
266,2.56209,2025-02-02 19:49:56.540703,2025-02-15 19:49:56.540703
267,3.802346,2025-01-28 19:49:56.540703,
268,1.851212,2025-03-06 19:49:56.540703,2025-03-18 19:49:56.540703
271,0.661476,2025-01-09 19:49:56.540703,2025-02-05 19:49:56.540703
272,2.446102,2025-02-24 19:49:56.540703,
274,0.735223,2025-01-17 19:49:56.540703,
275,2.515952,2025-01-07 19:49:56.540703,2025-01-31 19:49:56.540703
276,3.289262,2025-03-01 19:49:56.540703,2025-03-15 19:49:56.540703
277,4.352166,2025-01-07 19:49:56.540703,2025-01-25 19:49:56.540703
278,1.997459,2025-02-23 19:49:56.540703,2025-03-08 19:49:56.540703
279,4.213694,2025-02-05 19:49:56.540703,
281,2.955688,2025-02-24 19:49:56.540703,2025-03-18 19:49:56.540703
282,6.022999,2025-01-07 19:49:56.540703,2025-01-07 19:49:56.540703
283,0.89675,2025-02-23 19:49:56.540703,2025-03-14 19:49:56.540703
284,0.941537,2025-01-21 19:49:56.540703,
285,4.202366,2025-02-25 19:49:56.540703,2025-03-24 19:49:56.540703
286,6.15184,2025-02-05 19:49:56.540703,
288,4.006956,2025-02-25 19:49:56.540703,
290,7.086216,2025-01-13 19:49:56.540703,2025-01-22 19:49:56.540703
291,5.242735,2025-01-12 19:49:56.540703,2025-01-23 19:49:56.540703
292,0.509009,2025-02-04 19:49:56.540703,
293,4.543656,2025-01-30 19:49:56.540703,
294,1.547826,2025-02-01 19:49:56.540703,2025-02-26 19:49:56.540703
297,2.916371,2025-01-17 19:49:56.540703,
298,3.608403,2025-02-02 19:49:56.540703,2025-02-05 19:49:56.540703
299,1.708314,2025-01-16 19:49:56.540703,
300,1.338663,2025-01-27 19:49:56.540703,
302,2.072579,2025-01-30 19:49:56.540703,
303,0.960021,2025-01-20 19:49:56.540703,2025-02-03 19:49:56.540703
304,4.140773,2025-02-11 19:49:56.540703,
305,2.864349,2025-01-27 19:49:56.540703,2025-02-05 19:49:56.540703
306,3.53236,2025-03-05 19:49:56.540703,2025-03-26 19:49:56.540703
307,1.971664,2025-03-03 19:49:56.540703,2025-03-21 19:49:56.540703
308,2.256822,2025-02-08 19:49:56.540703,2025-03-03 19:49:56.540703
309,2.837035,2025-01-18 19:49:56.540703,
310,6.187942,2025-01-08 19:49:56.540703,
311,1.44019,2025-01-30 19:49:56.540703,2025-02-18 19:49:56.540703
312,3.407489,2025-01-14 19:49:56.540703,
313,5.009258,2025-01-25 19:49:56.540703,2025-02-10 19:49:56.540703
314,1.509695,2025-02-11 19:49:56.540703,2025-02-25 19:49:56.540703
315,1.56495,2025-01-17 19:49:56.540703,
316,3.63238,2025-01-22 19:49:56.540703,2025-02-10 19:49:56.540703
319,5.660477,2025-02-06 19:49:56.540703,2025-02-23 19:49:56.540703
320,3.306501,2025-02-24 19:49:56.540703,
321,3.981502,2025-02-05 19:49:56.540703,
322,0.684651,2025-02-08 19:49:56.540703,
324,2.01962,2025-01-26 19:49:56.540703,
325,3.353981,2025-01-29 19:49:56.540703,2025-02-16 19:49:56.540703
326,2.643584,2025-02-25 19:49:56.540703,
327,2.903104,2025-02-21 19:49:56.540703,2025-02-19 19:49:56.540703
328,1.917114,2025-02-07 19:49:56.540703,2025-03-04 19:49:56.540703
329,3.126621,2025-02-10 19:49:56.540703,2025-02-19 19:49:56.540703
332,2.406812,2025-01-19 19:49:56.540703,2025-01-21 19:49:56.540703
333,1.563555,2025-01-21 19:49:56.540703,
334,2.481422,2025-01-20 19:49:56.540703,2025-02-07 19:49:56.540703
335,0.808538,2025-03-04 19:49:56.540703,2025-03-21 19:49:56.540703
336,6.887096,2025-01-19 19:49:56.540703,
337,4.240413,2025-02-28 19:49:56.540703,
338,1.055028,2025-02-23 19:49:56.540703,2025-02-26 19:49:56.540703
339,2.547358,2025-02-26 19:49:56.540703,
340,2.910415,2025-01-25 19:49:56.540703,2025-02-22 19:49:56.540703
341,5.202314,2025-01-13 19:49:56.540703,2025-01-11 19:49:56.540703
345,3.107652,2025-02-17 19:49:56.540703,2025-02-18 19:49:56.540703
348,2.079485,2025-02-08 19:49:56.540703,
349,3.202477,2025-01-10 19:49:56.540703,2025-02-03 19:49:56.540703
350,0.543067,2025-01-25 19:49:56.540703,
351,3.673983,2025-01-21 19:49:56.540703,2025-02-06 19:49:56.540703
352,0.678192,2025-01-21 19:49:56.540703,2025-01-21 19:49:56.540703
353,3.409769,2025-01-08 19:49:56.540703,2025-01-14 19:49:56.540703
355,2.06124,2025-02-28 19:49:56.540703,2025-03-16 19:49:56.540703
356,2.611175,2025-03-02 19:49:56.540703,2025-03-01 19:49:56.540703
359,2.655943,2025-02-06 19:49:56.540703,
360,1.598942,2025-02-16 19:49:56.540703,
361,2.954999,2025-01-27 19:49:56.540703,2025-02-14 19:49:56.540703
362,0.661607,2025-02-06 19:49:56.540703,2025-02-24 19:49:56.540703
364,2.937323,2025-01-31 19:49:56.540703,2025-01-31 19:49:56.540703
365,2.71752,2025-01-10 19:49:56.540703,2025-01-19 19:49:56.540703
366,5.07628,2025-03-04 19:49:56.540703,
367,1.558057,2025-02-14 19:49:56.540703,
369,1.329692,2025-02-22 19:49:56.540703,
371,3.25302,2025-02-22 19:49:56.540703,2025-03-13 19:49:56.540703
372,0.937182,2025-01-13 19:49:56.540703,2025-01-11 19:49:56.540703
375,4.217894,2025-02-21 19:49:56.540703,
376,1.061292,2025-02-08 19:49:56.540703,2025-02-18 19:49:56.540703
377,3.814617,2025-02-07 19:49:56.540703,
378,1.634547,2025-01-16 19:49:56.540703,2025-01-19 19:49:56.540703
379,4.975906,2025-01-17 19:49:56.540703,
380,1.779744,2025-02-01 19:49:56.540703,2025-02-22 19:49:56.540703
381,5.112587,2025-02-20 19:49:56.540703,2025-03-20 19:49:56.540703
383,4.400297,2025-01-28 19:49:56.540703,
384,2.435182,2025-02-01 19:49:56.540703,
385,2.143844,2025-02-14 19:49:56.540703,2025-02-18 19:49:56.540703
387,3.274507,2025-02-23 19:49:56.540703,
388,1.69857,2025-01-30 19:49:56.540703,2025-02-09 19:49:56.540703
389,1.137241,2025-02-15 19:49:56.540703,
390,5.162101,2025-02-02 19:49:56.540703,2025-02-19 19:49:56.540703
391,4.094297,2025-02-07 19:49:56.540703,
392,3.745101,2025-02-19 19:49:56.540703,2025-03-15 19:49:56.540703
393,4.579468,2025-02-03 19:49:56.540703,2025-02-12 19:49:56.540703
394,2.268102,2025-02-25 19:49:56.540703,
395,3.671699,2025-02-19 19:49:56.540703,2025-03-15 19:49:56.540703
396,0.939245,2025-01-30 19:49:56.540703,
398,5.140715,2025-01-21 19:49:56.540703,2025-01-23 19:49:56.540703
400,4.768238,2025-02-26 19:49:56.540703,2025-03-01 19:49:56.540703
401,1.757412,2025-02-27 19:49:56.540703,2025-02-28 19:49:56.540703
402,0.825922,2025-01-26 19:49:56.540703,2025-02-04 19:49:56.540703
404,2.122417,2025-02-04 19:49:56.540703,
405,2.091013,2025-02-21 19:49:56.540703,2025-03-09 19:49:56.540703
406,1.491083,2025-01-07 19:49:56.540703,
409,2.156422,2025-01-20 19:49:56.540703,2025-02-03 19:49:56.540703
411,0.879873,2025-02-14 19:49:56.540703,2025-02-25 19:49:56.540703
412,1.711566,2025-02-07 19:49:56.540703,2025-02-25 19:49:56.540703
413,2.422334,2025-02-12 19:49:56.540703,
414,2.509251,2025-01-11 19:49:56.540703,
415,1.224086,2025-01-28 19:49:56.540703,
416,3.321356,2025-02-20 19:49:56.540703,
418,1.515961,2025-01-21 19:49:56.540703,
419,5.65368,2025-01-31 19:49:56.540703,
421,6.508015,2025-02-20 19:49:56.540703,
422,3.848373,2025-03-04 19:49:56.540703,2025-03-23 19:49:56.540703
423,1.126302,2025-02-15 19:49:56.540703,2025-03-05 19:49:56.540703
424,2.854079,2025-01-22 19:49:56.540703,2025-02-11 19:49:56.540703
425,4.172001,2025-02-12 19:49:56.540703,
426,0.661648,2025-02-12 19:49:56.540703,2025-02-13 19:49:56.540703
427,5.346834,2025-01-21 19:49:56.540703,2025-02-05 19:49:56.540703
428,1.91075,2025-01-31 19:49:56.540703,2025-02-15 19:49:56.540703
429,3.174643,2025-02-18 19:49:56.540703,
431,0.967442,2025-03-04 19:49:56.540703,
432,4.808945,2025-02-22 19:49:56.540703,
433,0.817453,2025-01-15 19:49:56.540703,2025-02-12 19:49:56.540703
434,3.819891,2025-01-13 19:49:56.540703,2025-01-26 19:49:56.540703
435,3.492342,2025-02-01 19:49:56.540703,2025-02-14 19:49:56.540703
436,3.011746,2025-01-18 19:49:56.540703,2025-02-07 19:49:56.540703
437,2.164607,2025-01-28 19:49:56.540703,
439,0.524967,2025-02-05 19:49:56.540703,2025-02-25 19:49:56.540703
440,1.147261,2025-02-06 19:49:56.540703,2025-02-25 19:49:56.540703
443,3.237784,2025-02-18 19:49:56.540703,2025-03-14 19:49:56.540703
444,0.784824,2025-03-01 19:49:56.540703,
445,6.729546,2025-02-16 19:49:56.540703,
446,5.67304,2025-01-23 19:49:56.540703,2025-02-16 19:49:56.540703
447,2.352061,2025-02-13 19:49:56.540703,2025-03-07 19:49:56.540703
451,2.969123,2025-03-02 19:49:56.540703,
452,2.908511,2025-02-14 19:49:56.540703,2025-03-02 19:49:56.540703
453,4.520898,2025-01-28 19:49:56.540703,
454,3.243233,2025-01-08 19:49:56.540703,2025-01-16 19:49:56.540703
455,3.12523,2025-03-01 19:49:56.540703,2025-03-19 19:49:56.540703
457,4.59624,2025-02-22 19:49:56.540703,2025-03-17 19:49:56.540703
459,5.176334,2025-03-02 19:49:56.540703,
460,1.432923,2025-02-17 19:49:56.540703,2025-02-20 19:49:56.540703
461,3.718835,2025-01-07 19:49:56.540703,2025-02-04 19:49:56.540703
463,3.752688,2025-02-16 19:49:56.540703,2025-02-19 19:49:56.540703
464,0.934707,2025-02-09 19:49:56.540703,2025-02-25 19:49:56.540703
465,1.618801,2025-02-28 19:49:56.540703,2025-03-02 19:49:56.540703
467,6.902422,2025-02-20 19:49:56.540703,
468,4.586541,2025-02-23 19:49:56.540703,
469,0.937982,2025-01-12 19:49:56.540703,
470,3.901759,2025-02-16 19:49:56.540703,2025-02-17 19:49:56.540703
471,0.960536,2025-02-07 19:49:56.540703,2025-02-13 19:49:56.540703
473,3.381942,2025-02-12 19:49:56.540703,2025-02-12 19:49:56.540703
474,1.595826,2025-02-08 19:49:56.540703,2025-03-03 19:49:56.540703
475,4.282538,2025-01-26 19:49:56.540703,2025-02-13 19:49:56.540703
476,3.508258,2025-02-14 19:49:56.540703,
478,0.887579,2025-01-27 19:49:56.540703,2025-02-17 19:49:56.540703
479,0.8851,2025-03-07 19:49:56.540703,
480,1.703426,2025-01-09 19:49:56.540703,2025-01-30 19:49:56.540703
481,4.156568,2025-02-22 19:49:56.540703,
482,3.010121,2025-02-21 19:49:56.540703,2025-03-09 19:49:56.540703
483,4.739343,2025-02-09 19:49:56.540703,
484,0.679502,2025-02-01 19:49:56.540703,
485,5.116423,2025-02-11 19:49:56.540703,
486,4.270405,2025-01-19 19:49:56.540703,2025-02-11 19:49:56.540703
487,2.722186,2025-02-08 19:49:56.540703,
488,1.241755,2025-01-07 19:49:56.540703,
490,1.61808,2025-02-22 19:49:56.540703,2025-03-01 19:49:56.540703
492,1.291246,2025-02-14 19:49:56.540703,2025-02-19 19:49:56.540703
493,2.386995,2025-02-25 19:49:56.540703,
494,2.575056,2025-01-19 19:49:56.540703,
497,1.237373,2025-02-24 19:49:56.540703,2025-03-10 19:49:56.540703
498,3.921899,2025-02-15 19:49:56.540703,2025-03-03 19:49:56.540703
499,5.245332,2025-02-08 19:49:56.540703,
501,2.357653,2025-03-02 19:49:56.540703,
502,1.451223,2025-02-10 19:49:56.540703,
504,2.734639,2025-01-22 19:49:56.540703,
505,1.870218,2025-01-21 19:49:56.540703,2025-02-05 19:49:56.540703
506,2.306478,2025-01-14 19:49:56.540703,
507,3.421648,2025-01-26 19:49:56.540703,2025-01-31 19:49:56.540703
508,0.529444,2025-01-08 19:49:56.540703,
509,5.526068,2025-01-21 19:49:56.540703,
510,5.007065,2025-01-27 19:49:56.540703,2025-02-06 19:49:56.540703
514,2.423536,2025-01-31 19:49:56.540703,2025-02-14 19:49:56.540703
517,1.002524,2025-02-22 19:49:56.540703,
518,2.383552,2025-03-05 19:49:56.540703,2025-03-23 19:49:56.540703
520,1.85271,2025-01-24 19:49:56.540703,
522,1.888114,2025-02-08 19:49:56.540703,
523,3.76253,2025-01-12 19:49:56.540703,
524,3.69453,2025-02-02 19:49:56.540703,
526,2.385535,2025-01-13 19:49:56.540703,2025-01-14 19:49:56.540703
527,3.083385,2025-01-30 19:49:56.540703,2025-02-03 19:49:56.540703
529,2.511776,2025-02-25 19:49:56.540703,2025-03-14 19:49:56.540703
530,1.268789,2025-01-15 19:49:56.540703,2025-02-05 19:49:56.540703
531,0.861947,2025-01-17 19:49:56.540703,2025-01-20 19:49:56.540703
532,1.056283,2025-01-21 19:49:56.540703,2025-02-10 19:49:56.540703
533,3.059824,2025-01-08 19:49:56.540703,2025-02-02 19:49:56.540703
534,2.227293,2025-01-25 19:49:56.540703,2025-02-18 19:49:56.540703
536,2.347349,2025-02-19 19:49:56.540703,2025-03-01 19:49:56.540703
537,2.984447,2025-01-22 19:49:56.540703,
538,1.419176,2025-02-02 19:49:56.540703,2025-02-13 19:49:56.540703
539,3.063447,2025-02-15 19:49:56.540703,
540,4.269008,2025-02-12 19:49:56.540703,2025-03-11 19:49:56.540703
541,0.974819,2025-02-19 19:49:56.540703,2025-02-19 19:49:56.540703
544,0.703804,2025-01-13 19:49:56.540703,
548,2.467127,2025-01-29 19:49:56.540703,2025-02-09 19:49:56.540703
549,4.782062,2025-01-10 19:49:56.540703,
550,3.618151,2025-01-16 19:49:56.540703,
552,5.575917,2025-02-03 19:49:56.540703,
553,5.091526,2025-02-23 19:49:56.540703,
554,5.402317,2025-02-04 19:49:56.540703,2025-02-22 19:49:56.540703
555,2.132905,2025-02-15 19:49:56.540703,
557,4.104354,2025-02-10 19:49:56.540703,2025-02-25 19:49:56.540703
559,1.007978,2025-03-07 19:49:56.540703,
560,0.802055,2025-02-02 19:49:56.540703,2025-02-13 19:49:56.540703
561,3.949075,2025-03-05 19:49:56.540703,2025-03-16 19:49:56.540703
562,2.228196,2025-02-17 19:49:56.540703,2025-03-15 19:49:56.540703
564,1.98578,2025-01-20 19:49:56.540703,
566,1.899373,2025-01-14 19:49:56.540703,2025-01-21 19:49:56.540703
567,1.4029,2025-02-17 19:49:56.540703,2025-03-08 19:49:56.540703
569,1.362695,2025-01-15 19:49:56.540703,
571,1.833323,2025-02-23 19:49:56.540703,
572,2.905738,2025-02-22 19:49:56.540703,
573,3.158607,2025-02-24 19:49:56.540703,2025-03-13 19:49:56.540703
574,3.450687,2025-02-04 19:49:56.540703,2025-02-26 19:49:56.540703
575,4.706384,2025-03-03 19:49:56.540703,2025-03-15 19:49:56.540703
577,1.766249,2025-02-18 19:49:56.540703,
578,3.22251,2025-01-11 19:49:56.540703,2025-01-21 19:49:56.540703
579,3.547547,2025-02-03 19:49:56.540703,
580,0.754626,2025-02-13 19:49:56.540703,2025-03-02 19:49:56.540703
581,2.028435,2025-02-25 19:49:56.540703,2025-03-11 19:49:56.540703
582,0.843922,2025-02-17 19:49:56.540703,2025-03-05 19:49:56.540703
583,2.281244,2025-01-28 19:49:56.540703,
584,4.168028,2025-02-22 19:49:56.540703,2025-02-22 19:49:56.540703
585,1.75064,2025-01-30 19:49:56.540703,2025-02-09 19:49:56.540703
586,1.26778,2025-02-25 19:49:56.540703,
587,5.270807,2025-01-22 19:49:56.540703,
