task_id,completion_time,completion_status,user_rating
88,1.7119585414412883,1,5
89,3.5960411927036575,1,3
90,4.785851335077556,0,3
91,3.207526608112714,0,4
92,4.19777174355267,0,4
93,0.5885225138401334,0,1
94,1.7083011986960597,0,2
95,3.0250808549984765,1,4
96,1.6399234987765872,1,1
97,3.5973995747846605,0,3
98,4.5819637409911165,0,4
99,4.730115357490132,0,2
100,3.7528978242042306,0,1
101,4.885633956982281,0,5
102,3.4551857896421296,0,1
103,1.7239558163026771,1,3
104,2.3928022595882883,1,3
105,4.768389474219099,1,4
106,0.6128408613067922,0,4
107,1.7623656631943496,0,1
108,2.131769638794963,1,3
109,2.7230505827928004,0,2
110,3.201404202283034,1,5
111,3.8575067917763337,1,2
112,2.4640674878296065,1,5
113,4.228079293305693,0,2
114,3.188420055449374,0,2
115,4.5138545105521635,0,2
116,4.707369125888936,0,4
117,0.7478777093285217,1,1
118,1.34937327932615,1,4
119,4.171668525538736,1,5
120,3.08152764089206,0,4
121,3.251602267774498,0,4
122,1.8983694875850754,0,5
123,1.7511985220371937,1,5
124,3.6125349656683428,0,1
125,3.7569367061629317,0,4
126,2.0477286047266867,0,4
127,1.0887610333864965,0,1
128,2.8369286625024825,1,3
129,4.515278617128507,1,3
130,3.6081065051190166,0,2
131,0.5751576388345996,0,3
132,3.810132198079639,0,4
133,4.9971195174147995,1,3
134,3.0758622884362805,0,4
135,0.6125183355098605,1,4
136,0.5989726954437466,1,2
137,2.473064932726352,1,5
138,4.298589907678032,1,3
139,2.498064281497868,1,2
140,0.5876410401155288,0,2
141,4.626791848431628,1,2
142,2.782870594191652,1,5
143,4.613502628023163,1,3
144,3.920421158606504,1,1
145,1.4593113022767956,0,4
146,2.2649805324826024,1,4
147,1.3296765587203505,1,1
148,0.5788076627812477,1,5
149,2.4294046714395017,0,2
150,0.6695444428678148,0,5
151,1.4058753119506457,0,3
152,3.790247689839708,0,5
153,1.0670619002825092,0,1
154,3.8425590016304256,1,3
155,2.5715247529937795,1,1
156,4.690398475642635,0,4
157,0.6225819988700496,1,2
158,3.1631533679178,0,1
159,0.8376174326298101,1,4
160,1.446620912742779,0,4
161,3.961131077369014,0,4
162,3.8680287640272257,1,5
163,4.602002169783936,0,5
164,4.9604057580939465,0,4
165,0.6676717915719311,1,1
166,1.7518780401330027,0,1
167,4.131410241255636,1,1
168,2.476984761233042,0,3
169,2.6440400997680924,1,1
170,4.104964022694151,0,3
171,1.9445129677875026,1,3
172,2.0215259276200697,1,4
173,3.469965538939988,1,4
174,1.508239768218428,0,1
175,3.83738240779369,1,5
176,1.514638962582593,1,1
177,0.8682115025839404,1,3
178,4.689086266067461,0,1
179,1.9007437491266002,1,1
180,1.9039404148602166,0,4
181,1.2725356693925889,1,4
182,2.3130513576523413,1,4
183,1.0154226903645833,1,4
184,4.8840878528644085,0,3
185,2.6788404414808378,0,4
186,3.393285737207987,1,2
187,1.0806362544442638,1,5
188,1.1857157153587725,0,5
189,4.157408704282644,0,2
190,2.998714030890176,1,4
191,0.8988133371763645,0,2
192,1.8129981958848913,0,3
193,2.2271788630531466,1,2
194,1.1872826283135944,1,4
195,4.924509825161011,1,4
196,2.063759206543433,0,1
197,3.1960406573849705,1,4
198,1.3759439155168633,0,2
199,2.6750457663085294,1,1
200,2.8105304128329327,0,2
